City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
239,Kattivakkam,IN,13.2167,80.3167,84.2,74,40,4.54,mist
240,Nuuk,GL,64.1835,-51.7216,1.4,71,40,12.66,light snow
241,Bonavista,CA,48.6499,-53.1147,41.0,81,100,5.75,overcast clouds
242,Mandera,KE,3.9366,41.867,77.16,66,13,6.64,few clouds
243,Tukrah,LY,32.5341,20.5791,52.29,70,23,10.33,few clouds
244,Ordynskoye,RU,54.3656,81.8994,24.06,92,95,9.46,overcast clouds
245,Houma,US,29.5958,-90.7195,73.4,94,90,4.65,mist
246,Arbazh,RU,57.6804,48.3065,32.36,94,100,4.88,overcast clouds
247,Sinnamary,GF,5.3833,-52.95,76.12,87,47,10.36,scattered clouds
248,Vostok,RU,46.4856,135.8833,37.0,68,12,5.21,few clouds
249,Cortez,US,37.3489,-108.5859,32.0,93,90,8.05,snow
250,Pangnirtung,CA,66.1451,-65.7125,-30.14,79,8,5.26,clear sky
251,Dunedin,NZ,-45.8742,170.5036,64.99,73,68,5.01,broken clouds
252,Taixing,CN,32.1667,120.0136,75.0,41,0,5.01,clear sky
253,Mackay,AU,-21.15,149.2,86.0,70,3,14.97,clear sky
254,Geraldton,AU,-28.7667,114.6,78.8,38,2,13.8,clear sky
255,Yaan,NG,7.3833,8.5667,76.35,77,99,5.95,overcast clouds
256,Tuma,RU,55.148,40.5537,32.45,94,100,2.35,overcast clouds
257,Araouane,ML,18.9048,-3.5265,63.46,10,0,12.21,clear sky
258,Carnot,CF,4.9409,15.8665,67.59,93,97,1.97,overcast clouds
259,Aktash,RU,50.3,87.7333,18.18,89,100,13.67,snow
260,Shenandoah,US,30.4013,-91.0009,70.0,95,52,2.66,broken clouds
261,Nantucket,US,41.2835,-70.0995,45.0,99,100,14.03,mist
262,Saint-Augustin,CA,51.226,-58.6502,34.5,99,100,16.44,overcast clouds
263,Cheremshan,RU,54.6667,51.5,26.85,96,100,3.11,overcast clouds
264,Along,IN,28.1667,94.7667,87.1,22,0,1.99,clear sky
265,Coihaique,CL,-45.5752,-72.0662,48.2,66,40,3.44,scattered clouds
266,Talnakh,RU,69.4865,88.3972,17.71,93,100,11.83,light snow
267,Marsaxlokk,MT,35.8419,14.5431,52.0,87,0,2.3,clear sky
268,Marawi,PH,7.9986,124.2928,82.99,80,100,7.0,overcast clouds
269,San Cristobal,VE,7.7669,-72.225,66.16,93,100,1.54,overcast clouds
270,Havelock,US,34.8791,-76.9013,71.01,88,1,12.66,clear sky
271,Villamontes,BO,-21.25,-63.5,77.58,68,100,6.82,overcast clouds
272,Grindavik,IS,63.8424,-22.4338,24.8,80,75,25.32,light snow
273,Tuatapere,NZ,-46.1333,167.6833,64.0,78,100,7.0,overcast clouds
274,Sur,OM,22.5667,59.5289,79.77,47,10,3.76,clear sky
275,Kruisfontein,ZA,-34.0033,24.7314,60.01,92,3,1.01,clear sky
276,Hay River,CA,60.8156,-115.7999,1.4,78,95,3.44,overcast clouds
277,Amahai,ID,-3.3333,128.9167,86.05,67,76,6.69,broken clouds
278,Surt,LY,31.2089,16.5887,56.01,63,7,6.76,clear sky
279,Poselki,RU,53.1324,46.5031,26.64,97,71,7.38,broken clouds
280,Fortuna,US,40.5982,-124.1573,48.0,76,90,17.27,overcast clouds
281,Hambantota,LK,6.1241,81.1185,84.2,84,20,12.66,few clouds
282,Pasighat,IN,28.0667,95.3333,88.59,16,1,4.21,clear sky
283,Morant Bay,JM,17.8815,-76.4093,80.6,69,20,13.8,few clouds
284,Valley City,US,46.9233,-98.0032,41.0,60,20,12.66,few clouds
285,Beniganj,IN,27.2833,80.45,84.87,16,0,14.07,clear sky
286,Svetlaya,RU,46.5389,138.3297,37.6,58,44,4.34,scattered clouds
287,Adrar,MR,20.5022,-10.0711,67.08,10,0,12.08,clear sky
288,Belyy Yar,RU,53.6039,91.3903,30.2,86,75,13.42,snow
289,Gillette,US,44.2911,-105.5022,42.8,52,90,11.5,overcast clouds
290,Haverfordwest,GB,51.8017,-4.9691,51.01,92,100,27.0,overcast clouds
291,Kaya,BF,13.0917,-1.0844,77.72,9,93,9.15,overcast clouds
292,Kochi,IN,9.9399,76.2602,82.4,74,20,3.44,mist
293,Bull Savanna,JM,17.8868,-77.5902,73.49,84,3,9.8,clear sky
294,Taungdwingyi,MM,20.0167,95.55,95.81,25,8,6.2,clear sky
295,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.06,97,100,4.32,overcast clouds
296,Port Lincoln,AU,-34.7333,135.8667,70.02,53,20,14.7,few clouds
297,Ciudad Bolivar,VE,8.1222,-63.5497,79.54,64,71,14.99,broken clouds
298,Airai,TL,-8.9266,125.4092,74.14,66,94,2.75,overcast clouds
299,Vukovar,HR,45.3433,18.9997,30.2,93,0,4.61,clear sky
300,Kalmunai,LK,7.4167,81.8167,83.82,76,99,10.2,overcast clouds
301,Redlands,US,34.0556,-117.1825,53.6,58,75,9.22,broken clouds
302,Port Blair,IN,11.6667,92.75,86.43,63,31,9.15,scattered clouds
303,Smithers,CA,54.7804,-127.1743,39.2,60,90,9.22,overcast clouds
304,Kuching,MY,1.55,110.3333,87.8,74,40,3.44,scattered clouds
305,Kentau,KZ,43.5206,68.5094,56.05,95,100,18.37,overcast clouds
306,Tiksi,RU,71.6872,128.8694,11.66,79,100,14.2,overcast clouds
307,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.2,89,85,2.55,overcast clouds
308,Georgiyevka,KZ,43.0369,74.7114,51.8,93,75,13.42,broken clouds
309,Richards Bay,ZA,-28.783,32.0377,66.7,94,100,8.3,moderate rain
310,Karaman,TR,37.0833,33.25,24.4,92,99,9.22,light snow
311,Ulaangom,MN,49.9811,92.0667,26.42,86,85,6.51,overcast clouds
312,Kurumkan,RU,54.3,110.3,33.21,81,83,5.21,broken clouds
313,Carnarvon,AU,-24.8667,113.6333,84.2,32,97,8.05,overcast clouds
314,Gulbarga,IN,17.3333,76.8333,91.49,20,3,4.79,clear sky
315,Borovichi,RU,58.3878,33.9155,34.11,98,100,4.43,overcast clouds
316,Plettenberg Bay,ZA,-34.0527,23.3716,67.24,70,52,5.14,broken clouds
317,Valparaiso,CL,-33.0393,-71.6273,46.4,100,0,1.14,clear sky
318,Loikaw,MM,19.6742,97.2094,93.47,21,76,3.74,broken clouds
319,Dingle,PH,10.9995,122.6711,87.24,61,95,14.72,overcast clouds
320,Sao Filipe,CV,14.8961,-24.4956,69.87,79,15,11.12,few clouds
321,Melilla,ES,35.2937,-2.9383,51.8,71,0,5.75,clear sky
322,Tanout,NE,14.9709,8.8879,68.25,12,100,19.57,overcast clouds
323,Mafinga,TZ,-7.25,35.0667,63.48,95,79,2.08,broken clouds
324,Bani Walid,LY,31.7566,13.9942,47.35,77,18,5.68,few clouds
325,Olinda,BR,-8.0089,-34.8553,78.8,73,75,10.36,broken clouds
326,Jalu,LY,29.0331,21.5482,48.76,65,5,8.05,clear sky
327,Jutai,BR,-5.1833,-68.9,72.27,98,85,1.92,light rain
328,Ilulissat,GL,69.2167,-51.1,-7.6,71,90,8.05,light snow
329,Douentza,ML,14.9951,-2.9517,72.93,6,51,6.08,broken clouds
330,Lamar,US,33.6668,-95.5836,53.6,82,1,4.61,clear sky
331,Sokoto,NG,13.0609,5.239,78.3,10,9,10.51,clear sky
332,Hoi An,VN,15.8794,108.335,82.4,74,75,8.05,broken clouds
333,Tyret Pervaya,RU,53.6703,102.3106,30.38,90,100,12.91,overcast clouds
334,Zhezkazgan,KZ,47.8043,67.7144,32.58,94,100,14.61,moderate rain
335,Eureka,US,40.8021,-124.1637,48.99,79,24,8.01,few clouds
336,Hovd,MN,48.0056,91.6419,49.87,27,5,28.03,clear sky
337,Dekar,BW,-21.5333,21.9333,64.78,59,54,6.24,broken clouds
338,Clyde River,CA,70.4692,-68.5914,-18.4,76,1,12.66,clear sky
339,Trairi,BR,-3.2778,-39.2689,74.41,90,87,3.24,light rain
340,Half Moon Bay,US,37.4636,-122.4286,52.0,81,1,11.5,haze
341,Naberera,TZ,-4.2,36.9333,61.3,95,54,1.7,light rain
342,Sinop,TR,41.7711,34.8709,30.54,78,100,7.14,overcast clouds
343,Alofi,NU,-19.0595,-169.9187,86.0,70,7,11.5,light rain
344,Opotiki,NZ,-38.0833,177.2833,71.01,72,19,4.0,few clouds
345,Srednekolymsk,RU,67.45,153.6833,-1.91,79,100,8.12,overcast clouds
346,Port Hedland,AU,-20.3167,118.5667,95.0,49,1,10.36,clear sky
347,Shihezi,CN,44.3,86.0333,47.19,50,91,1.5,overcast clouds
