City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
378,Panguna,PG,79.02,moderate rain,-6.3164,155.4848,
379,Nara,JP,69.01,few clouds,34.6851,135.8049,Guesthouse Nara Komachi
380,Bahia Honda,CU,74.79,clear sky,22.9036,-83.1592,Casa Gualberto - Deysi
381,Khani,GE,37.4,broken clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
383,Richland,US,60.8,overcast clouds,40.7834,-82.5499,Hampton Inn Mansfield/Ontario
384,Lagoa,PT,56.68,overcast clouds,39.05,-27.9833,Casa Das Faias
385,Buraydah,SA,64.4,dust,26.326,43.975,فندق راحة السلام
387,Burnie,AU,61.0,light rain,-41.0667,145.9167,Beachfront Voyager Motor Inn
388,Pitimbu,BR,75.2,clear sky,-7.4706,-34.8086,Reserva do Abiaí
390,Sabang,ID,82.62,overcast clouds,5.8933,95.3214,Hotel Citra
391,Ahipara,NZ,70.25,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
393,Nandigama,IN,84.2,haze,16.7833,80.3,Radisson
394,Pisco,PE,68.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
395,Maceio,BR,75.2,broken clouds,-9.6658,-35.7353,Poutur Pousada
397,Aksu,CN,58.93,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
399,Beyneu,KZ,41.47,overcast clouds,45.3167,55.2,NUR
400,La Seyne-Sur-Mer,FR,51.01,scattered clouds,43.0982,5.8847,La Frégate
401,Birjand,IR,59.0,haze,32.8663,59.2211,Birjand Tourist Hotel
402,Barneveld,NL,45.0,scattered clouds,52.1333,5.5833,Pension Nooitgedacht
403,Oistins,BB,77.0,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
404,Santa Cruz,BO,75.2,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
406,Bilma,NE,62.96,clear sky,18.6853,12.9164,Expeditions Ténére voyages
407,Tiznit,MA,66.69,overcast clouds,29.5833,-9.5,
409,Fare,PF,83.59,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
412,Samarai,PG,85.26,scattered clouds,-10.6167,150.6667,Nuli Sapi
413,Lompoc,US,51.8,overcast clouds,34.6391,-120.4579,Holiday Inn Express Lompoc
414,Carballo,ES,46.4,broken clouds,43.213,-8.691,Pazo do Souto
415,Tanabe,JP,64.4,few clouds,33.7333,135.3667,美吉屋旅館
416,Ponta Delgada,PT,55.4,few clouds,37.7333,-25.6667,Vila Nova Hotel
417,Atambua,ID,82.27,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
418,San Luis,AR,53.6,scattered clouds,-33.295,-66.3356,Huarpes Hotel
420,Beidao,CN,60.26,overcast clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
421,Holme,DK,42.8,mist,56.1138,10.1725,Hotel Ritz Aarhus City
422,Banepa,NP,62.6,haze,27.6298,85.5214,Dhulikhel Lodge Resort
425,Passage West,IE,41.0,broken clouds,51.8739,-8.3444,Commodore Hotel
427,Birobidzhan,RU,41.88,clear sky,48.8,132.95,Hotel Central (Vostok)
428,Portland,US,48.99,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
429,Bocas Del Toro,PA,78.28,scattered clouds,9.3333,-82.25,Hotel Bocas del Toro
431,Casablanca,MA,50.0,clear sky,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
